country_name,country_code,state_name,state_alpha,state_fips_code,marketing_id
UNITED STATES,9000,IOWA,IA,19,APR THRU JUNIA2020
UNITED STATES,9000,IOWA,IA,19,JAN THRU MARIA2019
UNITED STATES,9000,IOWA,IA,19,JUL THRU SEPIA2019
UNITED STATES,9000,IOWA,IA,19,OCT THRU DECIA2019
UNITED STATES,9000,IOWA,IA,19,JAN THRU MARIA2018
UNITED STATES,9000,IOWA,IA,19,APR THRU JUNIA2018
UNITED STATES,9000,IOWA,IA,19,JUL THRU SEPIA2018
UNITED STATES,9000,IOWA,IA,19,OCT THRU DECIA2018
UNITED STATES,9000,IOWA,IA,19,JAN THRU MARIA2017
UNITED STATES,9000,IOWA,IA,19,APR THRU JUNIA2017
UNITED STATES,9000,IOWA,IA,19,JUL THRU SEPIA2017
UNITED STATES,9000,IOWA,IA,19,OCT THRU DECIA2017
UNITED STATES,9000,IOWA,IA,19,JAN THRU MARIA2016
UNITED STATES,9000,IOWA,IA,19,APR THRU JUNIA2016
UNITED STATES,9000,IOWA,IA,19,JUL THRU SEPIA2016
UNITED STATES,9000,IOWA,IA,19,OCT THRU DECIA2016
UNITED STATES,9000,IOWA,IA,19,JAN THRU MARIA2015
UNITED STATES,9000,IOWA,IA,19,APR THRU JUNIA2015
UNITED STATES,9000,IOWA,IA,19,JUL THRU SEPIA2015
UNITED STATES,9000,IOWA,IA,19,OCT THRU DECIA2015
UNITED STATES,9000,KANSAS,KS,20,JAN THRU MARKS2020
UNITED STATES,9000,KANSAS,KS,20,APR THRU JUNKS2020
UNITED STATES,9000,KANSAS,KS,20,JAN THRU MARKS2019
UNITED STATES,9000,KANSAS,KS,20,JUL THRU SEPKS2019
UNITED STATES,9000,KANSAS,KS,20,OCT THRU DECKS2019
UNITED STATES,9000,KANSAS,KS,20,JAN THRU MARKS2018
UNITED STATES,9000,KANSAS,KS,20,APR THRU JUNKS2018
UNITED STATES,9000,KANSAS,KS,20,JUL THRU SEPKS2018
UNITED STATES,9000,KANSAS,KS,20,OCT THRU DECKS2018
